25127;-0,000965344;0,939473450
31027;-0,000961835;0,978190899
36928;-0,000956307;1,029755473
42829;-0,000950778;1,077573895
48730;-0,000949290;1,129974127
54631;-0,000943443;1,181476235
60532;-0,000937276;1,231922150
66433;-0,000920585;1,283528924
72334;-0,000890072;1,337397695
78235;-0,000813950;1,389541745
84136;-0,000661175;1,440417767
90037;-0,000348821;1,494043589
95938;0,000262705;1,545922399
101839;0,001420373;1,598516464
107740;0,003535305;1,650787354
113641;0,007100910;1,702839971
119542;0,012818764;1,753905296
125443;0,021110300;1,806849241
131344;0,032379624;1,858984351
137245;0,046835218;1,911355615
143146;0,063855350;1,964056611
149047;0,083267480;2,016363144
154948;0,103718832;2,067974567
160849;0,124451391;2,119784117
166750;0,143375531;2,172507524
172651;0,159654751;2,224698305
178552;0,172740802;2,277176619
184453;0,182520643;2,327874184
190354;0,189826742;2,382288933
196255;0,196152925;2,442577839
202156;0,195942312;2,444884300
208057;0,199106902;2,488047600
213958;0,202255964;2,540556908
219859;0,204753622;2,592179537
225760;0,206715152;2,643144608
231661;0,208270222;2,697528124
237562;0,208079815;2,697791100
243463;0,209299996;2,749609709
249364;0,210139036;2,803083897
255265;0,210895896;2,855896711
261166;0,211606935;2,909838915
267067;0,212220162;2,962203503
272968;0,212784797;3,014053345
